73860.0,2,1319.0,5,9,None,56.0,30.0,9.0, Йорданська
160000.0,2,2712.0,18,24,2019,59.0,None,20.0, Тютюнника
135000.0,3,1588.0,8,10,2015,85.0,49.0,12.0, Регенераторна
120000.0,1,2400.0,12,23,2015,50.0,18.0,15.0, Зарічна
58990.0,1,1450.0,3,34,None,None,16.0,10.0, Заболотного
90000.0,4,1059.0,4,10,1994,85.0,None,None, Курнатовського
187000.0,3,None,2,5,1934,None,None,None, Інститутська
88000.0,2,1222.0,16,25,2020,72.0,None,15.0, Маланюка
102000.0,2,1619.0,10,16,2019,63.0,26.0,22.0, Гречка
110000.0,1,1833.0,14,24,2018,60.0,21.0,15.0, Липківського
160000.0,2,3077.0,3,24,2015,52.0,13.0,18.0, Маккейна
225000.0,5,1500.0,23,24,2008,150.0,78.0,18.0, Григоренка
75000.0,2,1562.0,4,9,1966,48.0,30.0,7.0, Коновальця
59860.0,3,798.0,3,9,None,75.0,40.0,9.0, Закревського
43161.0,2,732.0,13,18,None,59.0,30.0,16.0, *** not found
140000.0,2,1842.0,13,18,1991,76.0,39.0,None, Старонаводницька
78000.0,1,1418.0,7,26,None,55.0,15.0,18.0, Маланюка
230000.0,2,2771.0,6,7,1915,83.0,45.0,11.0, Заньковецької
178000.0,2,2373.0,2,16,None,75.0,None,21.0, Кудрявська
63000.0,3,900.0,23,23,None,70.0,35.0,14.0, 
495000.0,3,4420.0,11,32,2017,112.0,45.0,54.0, Українки
45900.0,2,478.0,31,34,None,96.0,62.0,16.0, 
33000.0,1,1000.0,14,24,None,33.0,16.0,5.0, Милославська
66500.0,3,1147.0,3,5,1961,58.0,42.0,7.0, Донця
119900.0,3,1462.0,8,12,2002,82.0,48.0,14.0, Верховинця
145000.0,4,1381.0,1,9,1977,105.0,80.0,12.0, Героїв Дніпра
118000.0,3,1494.0,17,25,2018,79.0,36.0,35.0, Каховська
41000.0,1,1323.0,21,26,2018,31.0,12.0,8.0, Каховська
59899.0,2,1070.0,8,10,1995,56.0,34.0,8.0, Вишняківська
177000.0,2,2565.0,3,4,None,69.0,41.0,8.0, Липська
63000.0,1,1286.0,11,25,2019,49.0,16.0,16.0, Сверстюка
499000.0,3,4229.0,None,None,None,118.0,None,None, Драгомирова
49500.0,1,1269.0,19,26,None,39.0,17.0,11.0, Причальна
275000.0,2,4435.0,22,28,2013,62.0,30.0,20.0, Болсуновська
93000.0,3,1336.0,13,14,1994,None,48.0,None, Повітрофлотський
87500.0,2,1306.0,20,25,2015,67.0,37.0,14.0, Драгоманова
110000.0,3,1325.0,4,24,2008,83.0,None,30.0, Григоренка
900000.0,4,3600.0,23,24,2012,250.0,None,None, Дніпровська
86000.0,1,2205.0,3,8,2014,39.0,None,None, Жабаєва
335000.0,3,2577.0,9,14,2014,130.0,60.0,60.0, Філатова
67000.0,2,971.0,3,26,2021,69.0,25.0,21.0, Правди
90000.0,2,1800.0,4,4,1896,50.0,None,6.0, Малопідвальна
101500.0,1,2307.0,8,11,None,44.0,22.0,13.0, Бойчука
104000.0,3,1169.0,18,26,None,89.0,None,40.0, Зарічна
190000.0,2,3167.0,9,21,2017,60.0,None,25.0, Предславинська
3600000.0,6,8000.0,25,25,2011,450.0,288.0,45.0, Івана Мазепи
63000.0,2,1033.0,10,26,None,61.0,28.0,12.0, Радченка
680000.0,7,2369.0,21,21,2010,287.0,177.0,None, Лабораторний
139000.0,2,1829.0,20,21,2018,76.0,31.0,19.0, Конєва
347700.0,4,1900.0,4,25,2011,183.0,100.0,17.0, Шаповала
85000.0,2,1328.0,4,24,None,64.0,30.0,20.0, Дніпровська
35600.0,1,989.0,10,26,None,36.0,15.0,12.0, Клеманська
85000.0,3,1133.0,9,15,1999,75.0,42.0,8.0, Григоренка
